title,publisher,console,total_sales
Grand Theft Auto V,Rockstar Games,PS3,20.32
Grand Theft Auto V,Rockstar Games,PS4,19.39
Grand Theft Auto: Vice City,Rockstar Games,PS2,16.15
Grand Theft Auto V,Rockstar Games,X360,15.86
Call of Duty: Black Ops 3,Activision,PS4,15.09
Call of Duty: Modern Warfare 3,Activision,X360,14.82
Call of Duty: Black Ops,Activision,X360,14.74
Red Dead Redemption 2,Rockstar Games,PS4,13.94
Call of Duty: Black Ops II,Activision,X360,13.86
Call of Duty: Black Ops II,Activision,PS3,13.8
Call of Duty: Modern Warfare 2,Activision,X360,13.53
Call of Duty: WWII,Activision,PS4,13.4
Call of Duty: Modern Warfare 3,Activision,PS3,13.35
Grand Theft Auto III,Rockstar Games,PS2,13.1
Call of Duty: Black Ops,Activision,PS3,12.67
FIFA 18,EA Sports,PS4,11.8
Grand Theft Auto IV,Rockstar Games,X360,11.09
FIFA 17,Electronic Arts,PS4,10.94
Call of Duty: Modern Warfare 2,Activision,PS3,10.61
Grand Theft Auto IV,Rockstar Games,PS3,10.57
Call of Duty: Ghosts,Activision,X360,10.41
Call of Duty: Ghosts,Activision,PS3,10.13
Halo: Reach,Microsoft Game Studios,X360,9.97
Halo 4,Microsoft Studios,X360,9.96
Call of Duty 4: Modern Warfare,Activision,X360,9.41
Call of Duty: Black Ops IIII,Activision,PS4,9.32
FIFA 19,Electronic Arts,PS4,9.15
The Elder Scrolls V: Skyrim,Bethesda Softworks,X360,8.88
Grand Theft Auto V,Rockstar Games,XOne,8.72
Call of Duty: Infinite Warfare,Activision,PS4,8.48
Fallout 4,Bethesda Softworks,PS4,8.48
FIFA 16,EA Sports,PS4,8.22
Star Wars Battlefront (2015),Electronic Arts,PS4,8.03
FIFA 13,EA Sports,PS3,8.01
The Sims 3,Electronic Arts,PC,7.96
Grand Theft Auto: Liberty City Stories,Rockstar Games,PSP,7.72
Call of Duty: Advanced Warfare,Activision,PS4,7.53
Call of Duty: World at War,Activision,X360,7.5
Call of Duty: Black Ops 3,Activision,XOne,7.37
Battlefield 3,Electronic Arts,X360,7.35
Battlefield 1,Electronic Arts,PS4,7.26
Battlefield 3,Electronic Arts,PS3,7.21
Need for Speed Underground,Electronic Arts,PS2,7.2
Need for Speed Underground 2,Electronic Arts,PS2,6.9
Just Dance 4,Ubisoft,Wii,6.89
Medal of Honor: Frontline,Electronic Arts,PS2,6.83
Uncharted 2: Among Thieves,Sony Computer Entertainment,PS3,6.74
Call of Duty 4: Modern Warfare,Activision,PS3,6.72
FIFA Soccer 12,EA Sports,PS3,6.65
FIFA 14,EA Sports,PS3,6.61
